# Constructed from biom file
#OTU ID	11402.MC001.fastq.gz	11402.MC003.fastq.gz	11402.MC004.fastq.gz	11402.MC005.fastq.gz	11402.MC006.fastq.gz	11402.MC008.fastq.gz	11402.MC009.fastq.gz	11402.MC010.fastq.gz	11402.MC011.fastq.gz	11402.MC013.fastq.gz	11402.MC014.fastq.gz	11402.MC015.fastq.gz	11402.MC016.fastq.gz	11402.MC017.fastq.gz	11402.MC018.fastq.gz	11402.MC019.fastq.gz	11402.MC020.fastq.gz	11402.MC022.fastq.gz	11402.MC023.fastq.gz	11402.MC024.fastq.gz	11402.MC028.fastq.gz	11402.MC030.fastq.gz	11402.MC031.fastq.gz	11402.MC033.fastq.gz	11402.MC035.fastq.gz	11402.MC036.fastq.gz	11402.MC037.fastq.gz	11402.MC038.fastq.gz	11402.MC039.fastq.gz	11402.MC041.fastq.gz	11402.MC042.fastq.gz	11402.MC043.fastq.gz	11402.MC044.fastq.gz	11402.MC045.fastq.gz	11402.MC046.fastq.gz	11402.MC047.fastq.gz	11402.MC049.fastq.gz	11402.MC050.fastq.gz	11402.MC051.fastq.gz	11402.MC052.fastq.gz	11402.MC053.fastq.gz	11402.MC054.fastq.gz	11402.MC055.fastq.gz	11402.MC056.fastq.gz	11402.MC057.fastq.gz	11402.MC058.fastq.gz	11402.MC059.fastq.gz	11402.MC060.fastq.gz	11402.MC061.fastq.gz	11402.MC062.fastq.gz	11402.MC063.fastq.gz	11402.MC064.fastq.gz	11402.MC065.fastq.gz	11402.MC066.fastq.gz	11402.MC067.fastq.gz	11402.MC068.fastq.gz	11402.MC069.fastq.gz	11402.MC070.fastq.gz	11402.MC071.fastq.gz	11402.MC072.fastq.gz	11402.MC073.fastq.gz	11402.MC074.fastq.gz	11402.MC075.fastq.gz	11402.MC077.fastq.gz	11402.MC078.fastq.gz	11402.MC081.fastq.gz	11402.MC082.fastq.gz	11402.MC083.fastq.gz	11402.MC084.fastq.gz	11402.MC085.fastq.gz	11402.MC086.fastq.gz	11402.MC087.fastq.gz	11402.MC088.fastq.gz	11402.MC089.fastq.gz	11402.MC090.fastq.gz	11402.MC091.fastq.gz	11402.MC092.fastq.gz	11402.MC094.fastq.gz	11402.MC095.fastq.gz	11402.MC096.fastq.gz	11402.MC097.fastq.gz	11402.MC098.fastq.gz	11402.MC099.fastq.gz	11402.MC100.fastq.gz	11402.MC101.fastq.gz	11402.MC102.fastq.gz	11402.MC104.fastq.gz	11402.MC105.fastq.gz	11402.MC106.fastq.gz	11402.MC107.fastq.gz	11402.MC108.fastq.gz	11402.MC109.fastq.gz	11402.MC110.fastq.gz	11402.MC111.fastq.gz	11402.MC112.fastq.gz	11402.MC113.fastq.gz	11402.MC115.fastq.gz	11402.MC116.fastq.gz	11402.MC118.fastq.gz	11402.MC119.fastq.gz	11402.MC120.fastq.gz	11402.MC122.fastq.gz	11402.MC123.fastq.gz	11402.MC124.fastq.gz	11402.MC125.fastq.gz	11402.MC126.fastq.gz	11402.MC128.fastq.gz	11402.MC129.fastq.gz	11402.MC132.fastq.gz	11402.MC133.fastq.gz	11402.MC134.fastq.gz	11402.MC135.fastq.gz	11402.MC137.fastq.gz	11402.MC138.fastq.gz	11402.MC140.fastq.gz	11402.MC141.fastq.gz	11402.MC142.fastq.gz	11402.MC143.fastq.gz	11402.MC144.fastq.gz	11402.MC145.fastq.gz	11402.MC146.fastq.gz	11402.MC147.fastq.gz	11402.MC148.fastq.gz	11402.MC149.fastq.gz	11402.MC150.fastq.gz	11402.MC151.fastq.gz	11402.MC153.fastq.gz	11402.MC154.fastq.gz	11402.MC155.fastq.gz	11402.MC156.fastq.gz	11402.MC157.fastq.gz	11402.MC158.fastq.gz	11402.MC159.fastq.gz	11402.MC160.fastq.gz	11402.MC161.fastq.gz	11402.MC162.fastq.gz	11402.MC163.fastq.gz	11402.MC164.fastq.gz	11402.MC165.fastq.gz	11402.MC166.fastq.gz	11402.MC167.fastq.gz	11402.MC168.fastq.gz	11402.MC169.fastq.gz	11402.MC170.fastq.gz	11402.MC171.fastq.gz	11402.MC172.fastq.gz	11402.MC173.fastq.gz	11402.MC174.fastq.gz	11402.MC175.fastq.gz	11402.MC176.fastq.gz	11402.MC177.fastq.gz	11402.MC178.fastq.gz	11402.MC179.fastq.gz	11402.MC180.fastq.gz	11402.MC181.fastq.gz	11402.MC182.fastq.gz	11402.MC183.fastq.gz	11402.MC184.fastq.gz	11402.MC185.fastq.gz	11402.MC186.fastq.gz	11402.MC188.fastq.gz	11402.MC189.fastq.gz	11402.MC190.fastq.gz	11402.MC191.fastq.gz	11402.MC192.fastq.gz	11402.MC193.fastq.gz	11402.MC194.fastq.gz	11402.MC195.fastq.gz	11402.MC196.fastq.gz	11402.MC197.fastq.gz	11402.MC198.fastq.gz	11402.MC199.fastq.gz	11402.MC200.fastq.gz	11402.MC201.fastq.gz	11402.MC202.fastq.gz	11402.MC203.fastq.gz	11402.MC204.fastq.gz	11402.MC205.fastq.gz	11402.MC206.fastq.gz	11402.MC207.fastq.gz	11402.MC208.fastq.gz	11402.MC209.fastq.gz	11402.MC210.fastq.gz	11402.MC211.fastq.gz	11402.MC212.fastq.gz	11402.MC213.fastq.gz	11402.MC214.fastq.gz	11402.MC215.fastq.gz	11402.MC216.fastq.gz	11402.MC217.fastq.gz	11402.MC218.fastq.gz	11402.MC219.fastq.gz	11402.MC220.fastq.gz
35ffcc3b809d667286737d79670b8de5	16977.0	10207.0	19913.0	30.0	8906.0	14.0	21462.0	9.0	249.0	17.0	15419.0	12465.0	15618.0	6496.0	14458.0	19848.0	16.0	18021.0	11805.0	23801.0	14442.0	21020.0	17246.0	18115.0	4166.0	13551.0	17904.0	21679.0	14699.0	34.0	12245.0	8817.0	21495.0	2281.0	12834.0	15549.0	14805.0	6480.0	389.0	15362.0	24486.0	3193.0	29379.0	15465.0	6252.0	138.0	119.0	12855.0	5401.0	12228.0	868.0	411.0	434.0	13299.0	10995.0	3918.0	1820.0	20779.0	21795.0	17229.0	13110.0	26165.0	22.0	10350.0	4941.0	14459.0	7893.0	6364.0	2434.0	1415.0	5388.0	699.0	14831.0	22567.0	4213.0	52.0	6640.0	15552.0	5224.0	20199.0	16840.0	19084.0	4382.0	11333.0	23543.0	8267.0	6170.0	6332.0	15283.0	19724.0	6668.0	207.0	2734.0	5226.0	379.0	8937.0	19578.0	0.0	17008.0	30229.0	10726.0	14394.0	12770.0	15081.0	30599.0	16045.0	15799.0	14722.0	4755.0	22853.0	19849.0	15171.0	17598.0	5275.0	7107.0	65.0	21519.0	19038.0	17696.0	13052.0	26425.0	30026.0	3961.0	25573.0	26.0	5254.0	14581.0	3973.0	7873.0	4942.0	13228.0	17724.0	10881.0	13671.0	18778.0	11717.0	15175.0	18122.0	22.0	21455.0	8776.0	11271.0	18047.0	1476.0	6117.0	15036.0	17532.0	11456.0	7495.0	1969.0	10418.0	12695.0	14808.0	11886.0	21471.0	9520.0	15041.0	21706.0	22014.0	4808.0	7402.0	28.0	7642.0	8668.0	5535.0	13044.0	7061.0	1149.0	5131.0	15565.0	4763.0	20883.0	2243.0	10893.0	4690.0	19217.0	7753.0	9750.0	57.0	36.0	2884.0	10309.0	10817.0	8393.0	14267.0	24151.0	40402.0	15267.0	10454.0	2668.0	49.0	21178.0	10791.0
315ca0a729f126b941ba111a16d4d97a	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	771.0	0.0	0.0	0.0	24.0	0.0	2290.0	452.0	0.0	0.0	0.0	40.0	2145.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	2178.0	0.0	0.0	6891.0	0.0	0.0	0.0	0.0	0.0	8480.0	230.0	0.0	0.0	5755.0	0.0	0.0	2028.0	0.0	0.0	1267.0	5404.0	0.0	1980.0	5852.0	88.0	0.0	0.0	1429.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	7433.0	0.0	0.0	0.0	0.0	3468.0	106.0	836.0	0.0	391.0	5325.0	0.0	0.0	51.0	354.0	87.0	1480.0	192.0	0.0	29.0	81.0	0.0	88.0	0.0	0.0	5087.0	0.0	0.0	6501.0	0.0	613.0	1606.0	0.0	319.0	0.0	0.0	1286.0	0.0	356.0	54.0	42.0	1201.0	58.0	51.0	186.0	0.0	0.0	0.0	0.0	2904.0	3274.0	0.0	0.0	0.0	192.0	0.0	70.0	0.0	21.0	186.0	0.0	2079.0	0.0	3110.0	599.0	0.0	1226.0	0.0	85.0	1085.0	0.0	0.0	158.0	0.0	0.0	0.0	0.0	0.0	1277.0	0.0	35.0	28.0	42.0	0.0	24.0	17491.0	0.0	3538.0	600.0	34.0	60.0	240.0	0.0	0.0	2451.0	510.0	891.0	0.0	0.0	0.0	12169.0	0.0	5974.0	0.0	304.0	952.0	15439.0	0.0	566.0	28.0	0.0	582.0	4851.0	12524.0	0.0	0.0	9902.0	0.0	1315.0	5458.0	0.0	256.0	2104.0	85.0	74.0	1105.0	0.0	45.0	1638.0
2c5e87b291147c04e1b8d1c808b1aee0	213.0	0.0	688.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	966.0	133.0	1215.0	0.0	360.0	2476.0	0.0	742.0	867.0	963.0	1782.0	3066.0	919.0	792.0	903.0	0.0	10.0	0.0	1704.0	0.0	0.0	0.0	0.0	0.0	409.0	1170.0	0.0	841.0	112.0	0.0	912.0	194.0	0.0	1820.0	706.0	6.0	10.0	0.0	538.0	221.0	204.0	59.0	0.0	1552.0	875.0	634.0	197.0	3666.0	0.0	465.0	1419.0	1112.0	0.0	686.0	2109.0	0.0	209.0	129.0	1127.0	299.0	108.0	237.0	1225.0	977.0	585.0	0.0	1218.0	375.0	841.0	625.0	2374.0	1534.0	192.0	827.0	4114.0	945.0	204.0	483.0	0.0	2736.0	1662.0	0.0	1648.0	0.0	399.0	864.0	830.0	0.0	1493.0	435.0	721.0	1922.0	1396.0	402.0	775.0	1224.0	4929.0	1286.0	1135.0	1628.0	0.0	0.0	10.0	548.0	618.0	6105.0	1152.0	1501.0	1169.0	1550.0	1315.0	509.0	0.0	1273.0	0.0	707.0	0.0	1507.0	1724.0	0.0	2084.0	636.0	10.0	469.0	1374.0	527.0	976.0	1536.0	0.0	194.0	1296.0	3031.0	1490.0	11759.0	1209.0	911.0	2758.0	1819.0	0.0	747.0	0.0	886.0	546.0	707.0	1729.0	1460.0	0.0	180.0	1761.0	22.0	2641.0	0.0	861.0	58.0	962.0	0.0	1581.0	372.0	864.0	904.0	1884.0	366.0	1665.0	1686.0	441.0	635.0	526.0	1868.0	0.0	0.0	668.0	0.0	1353.0	796.0	0.0	1065.0	3176.0	792.0	798.0	0.0	0.0	1032.0	840.0
2c982937754e6321f861027032db80f7	0.0	479.0	3.0	0.0	278.0	0.0	0.0	0.0	687.0	106.0	1949.0	0.0	203.0	6853.0	0.0	0.0	3884.0	3251.0	649.0	0.0	766.0	6.0	20.0	320.0	91.0	0.0	4410.0	8161.0	0.0	0.0	0.0	126.0	2765.0	1660.0	4218.0	0.0	72.0	1048.0	3.0	0.0	0.0	38.0	7.0	105.0	3699.0	331.0	603.0	45.0	0.0	0.0	35.0	1186.0	2669.0	579.0	15.0	74.0	809.0	2819.0	160.0	12.0	2326.0	8.0	0.0	0.0	32.0	0.0	493.0	8318.0	506.0	18.0	0.0	1530.0	131.0	1028.0	162.0	0.0	15.0	32.0	995.0	287.0	657.0	2133.0	481.0	927.0	0.0	625.0	189.0	1364.0	243.0	8.0	477.0	71.0	264.0	2233.0	3848.0	0.0	0.0	27.0	6143.0	1884.0	401.0	232.0	3740.0	2434.0	0.0	803.0	716.0	3514.0	270.0	3568.0	6.0	0.0	93.0	263.0	81.0	5.0	0.0	9.0	1106.0	0.0	5.0	0.0	53.0	0.0	2035.0	194.0	0.0	71.0	3.0	187.0	141.0	61.0	679.0	237.0	5729.0	679.0	328.0	0.0	4.0	2047.0	1736.0	304.0	1016.0	48.0	19.0	10.0	2302.0	0.0	2777.0	287.0	402.0	305.0	4509.0	169.0	182.0	338.0	436.0	0.0	0.0	3517.0	205.0	0.0	10.0	23.0	26.0	2052.0	463.0	1882.0	0.0	294.0	150.0	0.0	131.0	0.0	499.0	25.0	48.0	148.0	12.0	4.0	24.0	822.0	35.0	132.0	3721.0	0.0	35.0	1311.0	37.0	1022.0	25.0	10.0	53.0
d46e2205f0c6ecf67b51f83d111c509c	869.0	539.0	200.0	0.0	4526.0	335.0	352.0	0.0	3035.0	0.0	873.0	507.0	989.0	531.0	2462.0	361.0	206.0	292.0	360.0	3726.0	494.0	1722.0	149.0	48.0	122.0	1255.0	852.0	502.0	45.0	0.0	705.0	574.0	2910.0	1109.0	707.0	1562.0	456.0	351.0	11.0	872.0	355.0	45.0	174.0	273.0	490.0	860.0	2048.0	44.0	2263.0	330.0	10.0	400.0	1011.0	309.0	632.0	18.0	3326.0	258.0	3747.0	795.0	1323.0	62.0	3.0	87.0	838.0	210.0	558.0	1915.0	130.0	201.0	738.0	1147.0	175.0	588.0	7.0	2220.0	160.0	228.0	209.0	1343.0	601.0	102.0	270.0	416.0	820.0	41.0	592.0	474.0	139.0	80.0	100.0	1675.0	1082.0	657.0	412.0	58.0	16.0	0.0	290.0	269.0	3770.0	2505.0	13.0	959.0	990.0	339.0	418.0	275.0	5132.0	2036.0	816.0	414.0	41.0	466.0	673.0	652.0	149.0	188.0	286.0	54.0	530.0	670.0	2609.0	1453.0	207.0	508.0	492.0	32.0	342.0	188.0	563.0	450.0	66.0	343.0	2385.0	975.0	404.0	746.0	2363.0	268.0	761.0	713.0	607.0	1410.0	697.0	1646.0	4460.0	131.0	357.0	805.0	26.0	595.0	1170.0	349.0	465.0	1501.0	407.0	7441.0	418.0	489.0	730.0	0.0	623.0	1659.0	128.0	143.0	913.0	425.0	13.0	168.0	372.0	132.0	341.0	37.0	42.0	837.0	584.0	41.0	0.0	0.0	45.0	48.0	166.0	253.0	532.0	267.0	121.0	288.0	759.0	1281.0	0.0	18.0	7.0
c6c3ab4e828fb40d6e05967b7aac9338	3.0	0.0	0.0	11.0	1893.0	0.0	292.0	3577.0	2542.0	1591.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	12.0	10.0	0.0	0.0	0.0	397.0	9.0	3.0	898.0	2315.0	253.0	2949.0	0.0	6708.0	4.0	852.0	0.0	2106.0	29.0	0.0	0.0	1928.0	9.0	1395.0	2342.0	4970.0	1992.0	364.0	754.0	8.0	804.0	898.0	819.0	0.0	0.0	871.0	1896.0	21.0	0.0	10.0	0.0	0.0	5.0	519.0	950.0	0.0	1414.0	196.0	3376.0	751.0	1200.0	1900.0	0.0	0.0	868.0	156.0	344.0	889.0	831.0	0.0	722.0	867.0	1034.0	820.0	0.0	3.0	276.0	0.0	523.0	1942.0	3554.0	3918.0	1380.0	562.0	3043.0	102.0	4.0	211.0	0.0	0.0	89.0	879.0	114.0	0.0	0.0	243.0	7192.0	0.0	1375.0	0.0	0.0	0.0	1227.0	937.0	412.0	0.0	0.0	5.0	0.0	68.0	1666.0	4.0	362.0	6.0	1221.0	1109.0	0.0	995.0	0.0	5.0	806.0	0.0	1390.0	30.0	0.0	0.0	0.0	3.0	4.0	0.0	755.0	416.0	314.0	3.0	15.0	206.0	0.0	0.0	6.0	464.0	0.0	239.0	284.0	26.0	16.0	3.0	0.0	0.0	7.0	14.0	309.0	3636.0	0.0	256.0	1189.0	0.0	366.0	460.0	629.0	133.0	0.0	0.0	1347.0	315.0	1196.0	1041.0	403.0	131.0	4444.0	0.0	368.0	1022.0	758.0	144.0	243.0	18.0	1539.0	0.0	330.0	1096.0	4200.0	1032.0	1242.0
feb1c288cd46f6fd9bc3c2c35970cbdf	0.0	72.0	3.0	0.0	282.0	0.0	0.0	0.0	5.0	0.0	4550.0	0.0	1030.0	0.0	784.0	111.0	0.0	9.0	836.0	10.0	579.0	3.0	0.0	0.0	0.0	0.0	7.0	1551.0	132.0	0.0	0.0	72.0	0.0	0.0	0.0	2386.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	44.0	1168.0	6.0	0.0	1004.0	665.0	0.0	0.0	2.0	0.0	17.0	1630.0	0.0	0.0	7334.0	0.0	4.0	0.0	2.0	0.0	102.0	190.0	0.0	873.0	0.0	0.0	6.0	0.0	0.0	1754.0	1556.0	34.0	0.0	3.0	7.0	4.0	1270.0	9206.0	0.0	0.0	199.0	0.0	9.0	3.0	439.0	1736.0	1833.0	0.0	0.0	0.0	3307.0	0.0	1785.0	0.0	0.0	12.0	0.0	0.0	4812.0	235.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	435.0	278.0	0.0	6.0	2370.0	3089.0	1690.0	328.0	1408.0	4793.0	0.0	1099.0	0.0	0.0	0.0	6.0	0.0	4172.0	27.0	293.0	3774.0	1964.0	0.0	148.0	0.0	0.0	0.0	6.0	0.0	0.0	4083.0	3979.0	2836.0	0.0	19.0	4.0	238.0	12676.0	0.0	0.0	0.0	2.0	0.0	12.0	13.0	19.0	0.0	6.0	0.0	3328.0	1647.0	0.0	246.0	37.0	440.0	0.0	0.0	278.0	16.0	2.0	0.0	4370.0	0.0	4812.0	4.0	8.0	176.0	3.0	0.0	0.0	400.0	157.0	1160.0	6.0	7.0	11.0	1435.0	587.0	7.0	4.0	0.0	1254.0	3024.0
c24e0e391aa836b5eae25567c7eb89ee	3.0	577.0	0.0	0.0	2771.0	18264.0	56.0	25.0	4488.0	8.0	0.0	800.0	498.0	736.0	0.0	5.0	3566.0	0.0	266.0	1241.0	1310.0	39.0	215.0	77.0	7554.0	437.0	1329.0	1904.0	0.0	28.0	637.0	267.0	0.0	215.0	387.0	0.0	154.0	185.0	0.0	4576.0	590.0	225.0	4.0	178.0	276.0	13.0	438.0	1173.0	645.0	254.0	0.0	55.0	225.0	2185.0	215.0	0.0	587.0	777.0	492.0	0.0	940.0	11.0	0.0	857.0	33.0	465.0	35.0	68.0	114.0	836.0	5.0	233.0	92.0	152.0	619.0	1072.0	26.0	40.0	1094.0	511.0	235.0	60.0	13.0	498.0	473.0	55.0	0.0	275.0	513.0	159.0	2082.0	1073.0	37.0	298.0	125.0	57.0	0.0	0.0	1196.0	0.0	49.0	364.0	1368.0	348.0	0.0	15.0	1033.0	6.0	2194.0	1361.0	695.0	177.0	3254.0	31.0	764.0	38.0	872.0	20.0	565.0	74.0	123.0	176.0	159.0	30.0	403.0	2817.0	0.0	765.0	0.0	0.0	582.0	871.0	84.0	786.0	0.0	247.0	1111.0	7.0	0.0	437.0	321.0	340.0	244.0	4166.0	50.0	467.0	566.0	0.0	3461.0	142.0	2358.0	11.0	491.0	187.0	739.0	1062.0	0.0	0.0	77.0	1014.0	1060.0	36.0	807.0	186.0	56.0	1783.0	14.0	6.0	0.0	178.0	636.0	0.0	67.0	115.0	139.0	144.0	20.0	67.0	33.0	0.0	83.0	993.0	138.0	728.0	1131.0	35.0	24.0	635.0	7.0	71.0	44.0	0.0	85.0
6f899e58ffc768754891187809557d7d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	0.0	231.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	4492.0	0.0	0.0	3.0	0.0	1679.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	1616.0	0.0	5.0	18.0	7.0	6888.0	0.0	0.0	1299.0	0.0	3572.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	875.0	1582.0	0.0	1648.0	6.0	0.0	0.0	137.0	143.0	0.0	0.0	0.0	0.0	99.0	606.0	0.0	0.0	0.0	0.0	213.0	85.0	0.0	0.0	108.0	4.0	0.0	8862.0	0.0	0.0	0.0	0.0	96.0	511.0	0.0	0.0	0.0	0.0	1933.0	304.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	189.0	0.0	103.0	0.0	9.0	0.0	1905.0	0.0	0.0	0.0	0.0	0.0	2.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	258.0	0.0	799.0	252.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1119.0	52.0	4.0	8.0	35.0	0.0	0.0	0.0	157.0	4147.0	0.0	0.0	10.0	4556.0	0.0	66.0	2303.0	2136.0	545.0	1879.0	0.0	2.0	4833.0	1666.0	411.0	53.0	651.0	0.0	0.0	5612.0	1344.0	1110.0	3222.0	0.0	0.0	812.0	0.0	4183.0	669.0	0.0	289.0	411.0
5a6c87d6a4eb5e114959f6192f29b641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10790.0	0.0	0.0	559.0	0.0	2313.0	0.0	0.0	0.0	0.0	0.0	551.0	0.0	0.0	0.0	0.0	0.0	0.0	217.0	0.0	0.0	69.0	0.0	0.0	0.0	490.0	0.0	0.0	1699.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1910.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1715.0	4725.0	0.0	0.0	0.0	547.0	2073.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0	0.0	0.0	0.0	129.0	7877.0	0.0	0.0	0.0	125.0	0.0	0.0	0.0	17298.0	0.0	0.0	0.0	7264.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7900.0	8624.0	0.0	0.0	0.0	0.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2108.0	0.0	1600.0	0.0	0.0	0.0	0.0	216.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	571.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1091.0	0.0	0.0	0.0	0.0	0.0
